gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat,direction,pmid,notes,category,cofactors,pathway,FDR
HRH1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,6.755341037968642,6.516407691446697,0.23893334652194476,0.29308078202034105,1.0724593570434688,unchanged,,,Histamine metabolism,None,Histamine receptor H1,1.0660035501017758e-28
HRH2,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.235292472721121,5.628995123136003,-0.39370265041488217,0.03986506902973853,-2.1620177993777645,down,,,Histamine metabolism,None,Histamine receptor H2,1.0660035501017758e-28
HRH3,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.156605204035139,5.170616843052803,-1.0140116390176637,2.809072724540909e-16,-19.216885514949862,down,,,Histamine metabolism,None,Histamine receptor H3,1.0660035501017758e-28
HRH4,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.105903610337299,5.193641829906892,-1.0877382195695935,5.635517175518044e-25,-50.02562883071162,down,,,Histamine metabolism,None,Histamine receptor H4,1.0660035501017758e-28
IDO1,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,6.575992878023147,7.841570053238194,-1.2655771752150473,0.0005119223730605424,-3.903292367699454,down,,,Tryptophan metabolism,Iron (heme),Trp → kynurenine (immune-induced),1.0660035501017758e-28
IL13,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.105903610337299,5.17649922151946,-1.0705956111821617,4.592015292746111e-29,-75.51621614598466,down,,,Alarmin/ILC2,None,Th2 effector cytokine / mucus,1.0660035501017758e-28
IL1B,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,5.89414397635721,6.615476212214517,-0.7213322358573073,0.03923106069957154,-2.1465485127071298,down,,,Inflammation/NF-κB,None,Interleukin 1 beta,1.8787922019072353e-28
IL25,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.11966750626075,5.15599928309992,-1.0363317768391695,4.908298263461725e-27,-75.29349121809581,down,,,Alarmin/ILC2,None,IL-17E / ILC2 activator,1.8787922019072353e-28
IL33,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,8.205146262534614,9.144418622522352,-0.9392723599877382,0.026867868261543422,-2.334348906750866,down,,,Alarmin/ILC2,None,Alarmin / ILC2 activator,1.8787922019072353e-28
IL5,Allergic_vs_NonAllergic,GSE261239,Nasal mucosa,4.140965768517346,5.226917386376812,-1.0859516178594655,9.24943853246639e-29,-27.63332989567199,down,,,Alarmin/ILC2,None,Eosinophil growth factor,1.8787922019072353e-28
